,review_name,pmid,outcome_name,comparison_name,metric,intervention1,intervention2,estimate,lower,upper,result_str,direction,XML_file_names
24133,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,19017387,Serious adverse events (including deaths),Dihydroartemisinin-piperaquine vs Artemether-lumefantrine,RR,DHA-P,AL6,3.0,0.124215801,72.45455016,no sig diff,,PMC2600646.nxml
15873,CD004294 v. 6.3 Physical rehabilitation for older people in long-term care.rm5,16372905,Death,Rehabilitation (experimental) versus rehabilitation (control),RR,Experimental,Control,0.0,0.0,0.0,sig diff, neg,PMC1368976.nxml
15209,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Participants experiencing exacerbations requiring oral steroid treatment,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,0.917592593,0.6937340329999999,1.213687272,no sig diff,,PMC1920547.nxml
15213,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Participants experiencing exacerbations requiring admission to hospital,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,1.137184116,0.538576222,2.401122923,no sig diff,,PMC1920547.nxml
15216,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Asthma-related serious adverse event,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,1.230751812,0.57345757,2.6414334740000003,no sig diff,,PMC1920547.nxml
15220,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Participants experiencing exacerbations requiring ED visit/hospitalisation,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,1.402659069,0.966134209,2.03641735,no sig diff,,PMC1920547.nxml
15224,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Mortality,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,2.9375975039999997,0.11951934800000001,72.20152394,no sig diff,,PMC1920547.nxml
15227,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Adverse events,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,0.938745013,0.7816167759999999,1.127460703,no sig diff,,PMC1920547.nxml
15244,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Withdrawals,Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,0.82692105,0.550809979,1.241441602,no sig diff,,PMC1920547.nxml
15248,CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5,17362472,Withdrawals (adverse events),Combination fluticasone/salmeterol versus budesonide/formoterol,OR,FP/SAL,BUD/F,0.753277381,0.328913159,1.7251569219999998,no sig diff,,PMC1920547.nxml
28908,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Incidence of postoperative seroma,All trials analysis,RR,FG group,NFG group,0.85106383,0.407458259,1.77762906,no sig diff,,PMC2650992.nxml
28922,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Surgical site infection,All trials analysis,RR,FG group,NFG group,1.531914894,0.26796901,8.757591934,no sig diff,,PMC2650992.nxml
28934,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Postoperative complications,All trials analysis,RR,FG group,NFG group,1.531914894,0.26796901,8.757591934,no sig diff,,PMC2650992.nxml
28967,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Incidence of postoperative seroma,Trials on mastectomy and axillary surgery,RR,FG,NFG,0.85106383,0.407458259,1.77762906,no sig diff,,PMC2650992.nxml
28972,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Surgical site infection,Trials on mastectomy and axillary surgery,RR,FG,NFG,1.531914894,0.26796901,8.757591934,no sig diff,,PMC2650992.nxml
28978,CD009557 v. 2.0 Fibrin glue instillation under skin flaps to prevent seroma-related morbidity following breast and a.rm5,19270819,Postoperative complications,Trials on mastectomy and axillary surgery,RR,FG,NFG,1.531914894,0.26796901,8.757591934,no sig diff,,PMC2650992.nxml
7729,CD002256 v. 9.0 Treatments for symptomatic urinary tract infections during pregnancy.rm5,18476110,Cure rates,Intravenous + oral antibiotics versus intravenous only,RR,Treatment,Control,1.08436214,0.9268496979999999,1.268642858,no sig diff,,PMC2364502.nxml
7730,CD002256 v. 9.0 Treatments for symptomatic urinary tract infections during pregnancy.rm5,18476110,Recurrent infection,Intravenous + oral antibiotics versus intravenous only,RR,Treatment,Control,1.7222222219999999,0.469341501,6.319597507999999,no sig diff,,PMC2364502.nxml
18725,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,pulmonary complications,pulmonary complications,OR,transverse,midline,5.136054422,0.242436441,108.8081268,no sig diff,,PMC2690844.nxml
18732,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,Pulmonary complications for elective patients,pulmonary complications,OR,Transverse,Midline,5.136054422,0.242436441,108.8081268,no sig diff,,PMC2690844.nxml
18739,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,wound infection,wound infection,OR,transverse,midline,0.404761905,0.100562465,1.629158544,no sig diff,,PMC2690844.nxml
18746,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,Wound infection excluding Greenall study,wound infection,OR,Transverse,Midline,0.404761905,0.100562465,1.629158544,no sig diff,,PMC2690844.nxml
18753,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,Wound infection in elective patients,wound infection,OR,Transverse,Midline,0.404761905,0.100562465,1.629158544,no sig diff,,PMC2690844.nxml
18767,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,incisional hernia rate,Incisional hernia,OR,Transverse incision,Midline incision,0.101694915,0.012469415,0.829377776,sig diff, neg,PMC2690844.nxml
18772,CD005199 v. 7.0 Transverse verses midline incisions for abdominal surgery.rm5,19259615,Incisional hernia rate (studies with >1 year follow up),Incisional hernia,OR,Transverse incision,Midline incision,0.101694915,0.012469415,0.829377776,sig diff, neg,PMC2690844.nxml
16941,CD004744 v. 6.0 Rivastigmine for vascular cognitive impairment.rm5,19300631,Withdrawals before end of treatment at 26 weeks,Rivastigmine (6 mg/day) vs placebo for subcortical vascular dementia,OR,Rivastigmine (6 mg/day),Placebo,2.4285714290000002,0.512383855,11.51082167,no sig diff,,PMC2656338.nxml
16942,CD004744 v. 6.0 Rivastigmine for vascular cognitive impairment.rm5,19300631,At least one adverse event by 26 weeks,Rivastigmine (6 mg/day) vs placebo for subcortical vascular dementia,OR,Rivastigmine (6 mg/day),Placebo,1.5,0.428711623,5.248283174,no sig diff,,PMC2656338.nxml
16943,CD004744 v. 6.0 Rivastigmine for vascular cognitive impairment.rm5,19300631,At least one adverse event of recurrent stroke by 26 weeks,Rivastigmine (6 mg/day) vs placebo for subcortical vascular dementia,OR,Rivastigmine (6 mg/day),Placebo,0.21052631600000002,0.02131927,2.078932771,no sig diff,,PMC2656338.nxml
16944,CD004744 v. 6.0 Rivastigmine for vascular cognitive impairment.rm5,19300631,Deaths by 26 weeks,Rivastigmine (6 mg/day) vs placebo for subcortical vascular dementia,OR,Rivastigmine (6 mg/day),Placebo,0.31707317100000004,0.012170668999999999,8.260466128,no sig diff,,PMC2656338.nxml
28527,CD009107 v. 4.0 Intracutaneous or subcutaneous sterile water injection compared with blinded controls for pain manag.rm5,20640118,Caesarean section,Sterile water versus normal saline,RR,Sterile water,Saline,5.0,0.246100282,101.58460529999999,no sig diff,,PMC2900101.nxml
28635,CD009238 v. 3.0 Helminth therapy (worms) for allergic rhinitis.rm5,19400893,All-cause study withdrawal,Drop-outs,RR,Experimental,Control,2.0,0.202272537,19.77529948,no sig diff,,PMC2728895.nxml
4710,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Vaginal delivery not achieved in 24 hours,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,0.837121212,0.5264974410000001,1.331007274,no sig diff,,PMC1784771.nxml
4714,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Caesarean section,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,3.0909090910000003,0.751363573,12.71517459,no sig diff,,PMC1784771.nxml
4717,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Uterine hyperstimulation without fetal heart rate changes,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,0.0,0.0,0.0,sig diff, neg,PMC1784771.nxml
4718,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Epidural analgesia,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,0.9787878790000001,0.769782511,1.2445407609999999,no sig diff,,PMC1784771.nxml
4719,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Instrumental vaginal delivery,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,0.772727273,0.22519861600000002,2.651470288,no sig diff,,PMC1784771.nxml
4722,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Post partum haemorrhage,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,0.0,0.0,0.0,sig diff, neg,PMC1784771.nxml
4723,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Neonatal infection,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,8.608695652,0.508739708,145.6730028,no sig diff,,PMC1784771.nxml
4724,CD001233 v. 8.0 Mechanical methods for induction of labour.rm5,9678143,Chorioamnionitis or endometritis,Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified),RR,Treatment,Control,5.022727273,1.3054056840000001,19.32563154,sig diff, pos,PMC1784771.nxml
12511,CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5,17002810,Retention in treatment,Supervised Injected Heroin + methadone vs oral methadone,RR,Heroin+ methadone,Methadone,1.279871692,1.017220637,1.6103404590000001,sig diff, pos,PMC1613238.nxml
12517,CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5,17002810,Adverse events related to intervention medications,Supervised Injected Heroin + methadone vs oral methadone,RR,Heroin+ methadone,Methadone,4.8863636360000005,0.241548187,98.84797688,no sig diff,,PMC1613238.nxml
12523,CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5,17002810,Retention in treatment,Heroin Provision (various modality and route of administration) vs any other treatment,RR,Experimental,Control,1.279871692,1.017220637,1.6103404590000001,sig diff, pos,PMC1613238.nxml
18,CD000006 v. 8.0 Absorbable suture materials for primary repair of episiotomy and second degree tears.rm5,10881642,Dyspareunia at 3 months,Fast-absorbing synthetic versus standard absorbable synthetic material,RR,Fast absorbing,Standard,0.26,0.09109282099999999,0.7421001909999999,sig diff, neg,PMC2449154.nxml
18932,CD005274 v. 5.2 Interventions to reduce risky sexual behaviour for preventing HIV infection in workers in occupation.rm5,16796402,Uptake of testing,Voluntary Counselling and Testing on site Vs Voucher for off-site VCT,RR,On site VCT,Off site VCT voucher,13.99923848,11.75144122,16.67699088,sig diff, pos,PMC1483908.nxml
25783,CD008016 v. 3.2 Maintenance treatment with antipsychotic drugs for schizophrenia.rm5,21927264,Relapse: up to 3 months,Maintenance treatment with antipsychotic drugs versus placebo/no treatment,RR,Experimental,Control,0.166666667,0.044755395,0.620657637,sig diff, neg,PMC3172444.nxml
25870,CD008016 v. 3.2 Maintenance treatment with antipsychotic drugs for schizophrenia.rm5,21927264,Relapse: independent of duration,Maintenance treatment with antipsychotic drugs versus placebo/no treatment,RR,Experimental,Control,0.166666667,0.044755395,0.620657637,sig diff, neg,PMC3172444.nxml
28482,CD009098 v. 3.0 High versus low positive end-expiratory pressure (PEEP) levels for mechanically ventilated adult pat.rm5,19239703,Barotrauma,High versus low levels of PEEP,RR,High PEEP,Low PEEP,0.9,0.198126594,4.088295191,no sig diff,,PMC2688140.nxml
28492,CD009098 v. 3.0 High versus low positive end-expiratory pressure (PEEP) levels for mechanically ventilated adult pat.rm5,19239703,Mortality within 28 days of randomization,High versus low levels of PEEP,RR,High PEEP,Low PEEP,1.2,0.601662215,2.39336951,no sig diff,,PMC2688140.nxml
28508,CD009098 v. 3.0 High versus low positive end-expiratory pressure (PEEP) levels for mechanically ventilated adult pat.rm5,19239703,Mortality in the Intensive Care Unit (ICU). Patients with ARDS,High versus low levels of PEEP,RR,High PEEP,Low PEEP,0.969230769,0.560696792,1.675430103,no sig diff,,PMC2688140.nxml
25401,CD007844 v. 3.0 Behavioral interventions to promote condom use among women living with HIV.rm5,18431475,Baseline,Consistent condom use among women living with HIV,OR,Intervention,Control/Comparison,1.077586207,0.260616439,4.455559438,no sig diff,,PMC2292251.nxml
21353,CD006317 v. 4.0 Radiofrequency ablation in the treatment of liver metastases from colorectal cancer.rm5,22066097,Postoperative mortality,30 day post-operative mortality,OR,RFA,HR,0.0,0.0,0.0,sig diff, neg,PMC3204557.nxml
28177,CD008895 v. 2.2 Patient education in the management of coronary heart disease.rm5,19040172,Cardiac Hospitalisations at end of follow up period,Hospitalisations,RR,Intervention,Control,0.95951854,0.8110248720000001,1.135200486,no sig diff,,PMC4195044.nxml
15446,CD004157 v. 4.0 Treatment for cramps in amyotrophic lateral sclerosismotor neuron disease.rm5,18608103,Cramps (side effect),Creatine versus placebo,RR,Creatine 5 g/d,Placebo,0.54862119,0.23754449,1.267068796,no sig diff,,PMC2631354.nxml
23249,CD007139 v. 3.0 Alprazolam for depression.rm5,21897464,All-cause withdrawals vs no withdrawals RR,Alprazolam versus TCAs,RR,Alprazolam,TCAs,0.836694678,0.552941706,1.2660611000000002,no sig diff,,PMC2988295.nxml
26386,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder.rm5,15667657,No clinically important response to treatment (as defined by the original study),Quetiapine added to antidepressants versus placebo added to antidepressants - all data short term,OR,Treatment,Control,1.477272727,0.432472839,5.046177505,no sig diff,,PMC547907.nxml
26389,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder.rm5,15667657,No clinically important change - CGI,Quetiapine added to antidepressants versus placebo added to antidepressants - all data short term,OR,Treatment,Control,1.7777777780000001,0.523672839,6.035244887999999,no sig diff,,PMC547907.nxml
26394,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder.rm5,15667657,Mental state: 1c. No clinically important change - (not ä´ 25% YBOCS reduction),Quetiapine added to antidepressants versus placebo added to antidepressants - all data short term,OR,Treatment,Control,1.477272727,0.432472839,5.046177505,no sig diff,,PMC547907.nxml
26397,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder.rm5,15667657,Adverse effects: 3a. Significant weight gain (as defined by the authors),Quetiapine added to antidepressants versus placebo added to antidepressants - all data short term,OR,Treatment,Control,3.307692308,0.12713370300000001,86.05765556,no sig diff,,PMC547907.nxml
26398,CD008141 v. 2.3 Second-generation antipsychotics for obsessive compulsive disorder.rm5,15667657,Adverse effects: 4. Sedation,Quetiapine added to antidepressants versus placebo added to antidepressants - all data short term,OR,Treatment,Control,6.0,1.5411210869999998,23.35961808,sig diff, pos,PMC547907.nxml
24141,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16179089,Gametocyte development (in those negative at baseline),Artesunate plus mefloquine vs Artemether-lumefantrine,RR,AS+MQ,AL6,1.004166667,0.204715635,4.9256164369999995,no sig diff,,PMC1261533.nxml
24145,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16179089,Serious adverse events (including deaths),Artesunate plus mefloquine vs Artemether-lumefantrine,RR,AS+MQ,AL6,0.0,0.0,0.0,sig diff, neg,PMC1261533.nxml
24152,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,16179089,Early vomiting,Artesunate plus mefloquine vs Artemether-lumefantrine,RR,AS+MQ,AL6,0.4,0.07835350599999999,2.04202731,no sig diff,,PMC1261533.nxml
20595,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD: complete case,C. difficile associated diarrhea,RR,Experimental,Control,0.255787037,0.028820235,2.270176084,no sig diff,,PMC3278944.nxml
20614,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD: complete case - fixed effects,C. difficile associated diarrhea,RR,Experimental,Control,0.255787037,0.028820235,2.270176084,no sig diff,,PMC3278944.nxml
20633,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD Sensitivity (1.5:1),C. difficile associated diarrhea,RR,Experimental,Control,0.205150215,0.02415051,1.742680012,no sig diff,,PMC3278944.nxml
20652,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD Sensitivity (2:1),C. difficile associated diarrhea,RR,Experimental,Control,0.205150215,0.02415051,1.742680012,no sig diff,,PMC3278944.nxml
20671,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD Sensitivity (3:1),C. difficile associated diarrhea,RR,Experimental,Control,0.41030042899999997,0.080400811,2.093840109,no sig diff,,PMC3278944.nxml
20690,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence CDAD Sensitivity (5:1),C. difficile associated diarrhea,RR,Experimental,Control,0.41030042899999997,0.080400811,2.093840109,no sig diff,,PMC3278944.nxml
20711,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Adverse Events: complete case,Adverse events,RR,Experimental,Control,0.894012945,0.723450448,1.104787685,no sig diff,,PMC3278944.nxml
20734,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,AE Sensitivity 1.5:1,Adverse events,RR,Experimental,Control,0.9333410659999999,0.763998506,1.140218913,no sig diff,,PMC3278944.nxml
20757,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,AE Sensitivity 2:1,Adverse events,RR,Experimental,Control,0.961064068,0.7888650559999999,1.170851892,no sig diff,,PMC3278944.nxml
20780,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,AE Sensitivity 3:1,Adverse events,RR,Experimental,Control,1.025751073,0.847019889,1.242196644,no sig diff,,PMC3278944.nxml
20803,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,AE Sensitivity 5:1,Adverse events,RR,Experimental,Control,1.155125082,0.9638281999999999,1.3843898280000002,no sig diff,,PMC3278944.nxml
20840,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence AAD: complete case,Antibiotic associated diarrhea,RR,Experimental,Control,0.739814815,0.534502864,1.023990698,no sig diff,,PMC3278944.nxml
20863,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence AAD: sensitivity (1.5:1),Antibiotic associated diarrhea,RR,Experimental,Control,0.773029794,0.566167169,1.055474594,no sig diff,,PMC3278944.nxml
20886,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence AAD: sensitivity (2:1),Antibiotic associated diarrhea,RR,Experimental,Control,0.8027617090000001,0.5905497820000001,1.091231225,no sig diff,,PMC3278944.nxml
20909,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence AAD: sensitivity (3:1),Antibiotic associated diarrhea,RR,Experimental,Control,0.86222554,0.639450957,1.162611257,no sig diff,,PMC3278944.nxml
20932,CD006095 v. 3.0 Probiotics for the prevention of Clostridium difficile-associated diarrhea in adults and children.rm5,22371721,Incidence AAD: sensitivity (5:1),Antibiotic associated diarrhea,RR,Experimental,Control,0.951421285,0.713101395,1.269388152,no sig diff,,PMC3278944.nxml
28788,CD009361 v. 2.2 Colesevelam for type 2 diabetes mellitus.rm5,18458145,Mortality,Colesevelam versus placebo,RR,Colesevelam,Control,0.0,0.0,0.0,sig diff, neg,PMC2494667.nxml
21227,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Frequent handwashing,Case-control studies,OR,Cases,Control,1.011576255,0.652478916,1.568305878,no sig diff,,PMC2666722.nxml
21234,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Wearing mask,Case-control studies,OR,Cases,Control,0.39533271700000006,0.245917076,0.635531131,sig diff, neg,PMC2666722.nxml
21242,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Wearing gloves,Case-control studies,OR,Cases,Control,0.192150646,0.097798715,0.3775292,sig diff, neg,PMC2666722.nxml
21247,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Wearing gowns,Case-control studies,OR,Cases,Control,0.471153846,0.301801777,0.735535585,sig diff, neg,PMC2666722.nxml
21254,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Use of eye protection (mask/goggles),Case-control studies,OR,Cases,Control,0.15865633099999998,0.021580999,1.166388599,no sig diff,,PMC2666722.nxml
21256,CD006207 v. 9.1 Physical interventions to interrupt or reduce the spread of respiratory viruses.rm5,19284644,Nose wash,Case-control studies,OR,Cases,Control,0.352076803,0.107985074,1.147918602,no sig diff,,PMC2666722.nxml
25599,CD007978 v. 3.0 Email for clinical communication between patientscaregivers and healthcare professionals.rm5,16236699,Communicating nonurgent messages to doctor and/or nurse rated as excellent/very good,"Email compared to standard methods of communication: Secondary outcomes, patient outcome, effect on patient-professional communication",OR,Email,Standard,2.630087209,1.611236668,4.293198428,sig diff, pos,PMC1550679.nxml
25600,CD007978 v. 3.0 Email for clinical communication between patientscaregivers and healthcare professionals.rm5,16236699,Communicating nonurgent messages to doctor and/or nurse rated as poor,"Email compared to standard methods of communication: Secondary outcomes, patient outcome, effect on patient-professional communication",OR,Email,Standard,0.559401709,0.253822316,1.232871392,no sig diff,,PMC1550679.nxml
4360,CD000978 v. 13.0 Interventions for preventing oral mucositis for patients with cancer receiving treatment.rm5,12671696,Mucositis (severe),PTA antibiotic pastille or paste versus placebo/no treatment,RR,PTA antibiotic,Control,0.8730158729999999,0.695547722,1.095764806,no sig diff,,PMC2376383.nxml
21683,CD006525 v. 5.0 Collaborative care for depression and anxiety problems.rm5,20097780,Patient satisfaction,Collaborative care versus 'usual care' (adults),RR,CC,Usual care,1.198067633,1.062890417,1.350436536,sig diff, pos,PMC2845010.nxml
9158,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.779569892,0.485663764,1.251337369,no sig diff,,PMC2722000.nxml
9164,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality from bacterial infections,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.623655914,0.108050028,3.599690873,no sig diff,,PMC2722000.nxml
9175,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Bacterial infections,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.207885305,0.046863188,0.922180109,sig diff, neg,PMC2722000.nxml
9184,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Bacteremia,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.935483871,0.136193926,6.4256175,no sig diff,,PMC2722000.nxml
9193,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Pneumonia,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.312169312,0.012970738999999998,7.513040067,no sig diff,,PMC2722000.nxml
9201,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Spontaneous bacterial peritonitis,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.10405643699999999,0.005725036,1.8912966409999998,no sig diff,,PMC2722000.nxml
9210,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Urinary tract infections,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.312169312,0.012970738999999998,7.513040067,no sig diff,,PMC2722000.nxml
9213,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Other infections,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.312169312,0.012970738999999998,7.513040067,no sig diff,,PMC2722000.nxml
9221,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Drop outs before end of study,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.51026393,0.20171962699999998,1.290748363,no sig diff,,PMC2722000.nxml
9229,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality sensitivity analysis worst-best case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,1.2056451609999999,0.779519243,1.864713756,no sig diff,,PMC2722000.nxml
9237,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality sensitivity analysis best-worst case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.487394958,0.319215692,0.744179722,sig diff, neg,PMC2722000.nxml
9242,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality from bacterial infections sensitivity analysis worst-best case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,2.967741935,0.823650984,10.69323337,no sig diff,,PMC2722000.nxml
9247,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Mortality from bacterial infections sensitivity analysis best-worst case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.18954248399999998,0.04264992099999999,0.84235451,sig diff, neg,PMC2722000.nxml
9255,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Bacterial infections sensitivity analysis worst-best case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.989247312,0.406862159,2.4052623769999997,no sig diff,,PMC2722000.nxml
9263,CD002907 v. 8.2 Antibiotic prophylaxis for cirrhotic patients with upper gastrointestinal bleeding.rm5,17043424,Bacterial infections sensitivity analysis best-worst case,Antibiotics versus no intervention/placebo,RR,Antibiotic,Control,0.085294118,0.020809386000000003,0.34960600799999997,sig diff, neg,PMC2722000.nxml
